Config Number,t2,a,w2,t3,w1,t1,Mass (kg),Max Von Mises Stress (MPa),Max Displacement (mm)
1,32,72,160,48,120,40,245.162 kg,9.06996 MPa,0.0627958 mm
2,32,72,160,48,120,50,265.322 kg,6.81215 MPa,0.0519929 mm
3,32,72,160,48,120,60,285.482 kg,8.61274 MPa,0.0439658 mm
4,32,72,160,48,150,40,265.322 kg,8.63924 MPa,0.0560326 mm
5,32,72,160,48,150,50,290.522 kg,7.58356 MPa,0.046268 mm
6,32,72,160,48,150,60,315.722 kg,6.51477 MPa,0.0389252 mm
7,32,72,160,48,180,40,285.482 kg,9.17409 MPa,0.051373 mm
8,32,72,160,48,180,50,315.722 kg,7.54146 MPa,0.0422389 mm
9,32,72,160,48,180,60,345.962 kg,7.73886 MPa,0.0353907 mm
10,32,72,160,60,120,40,277.418 kg,6.72611 MPa,0.0518695 mm
11,32,72,160,60,120,50,297.578 kg,5.1893 MPa,0.0431426 mm
12,32,72,160,60,120,60,317.738 kg,4.53023 MPa,0.0364951 mm
13,32,72,160,60,150,40,297.578 kg,5.91529 MPa,0.0462733 mm
14,32,72,160,60,150,50,322.778 kg,5.51282 MPa,0.0383071 mm
15,32,72,160,60,150,60,347.978 kg,4.23882 MPa,0.0324164 mm
16,32,72,160,60,180,40,317.738 kg,5.76084 MPa,0.0421411 mm
17,32,72,160,60,180,50,347.978 kg,4.47921 MPa,0.0349446 mm
18,32,72,160,60,180,60,378.218 kg,7.91728 MPa,0.0295022 mm
19,32,72,160,72,120,40,309.674 kg,5.76319 MPa,0.0428699 mm
20,32,72,160,72,120,50,329.834 kg,5.1346 MPa,0.0360258 mm
21,32,72,160,72,120,60,349.994 kg,5.69495 MPa,0.0306409 mm
22,32,72,160,72,150,40,329.834 kg,5.33567 MPa,0.0384713 mm
23,32,72,160,72,150,50,355.034 kg,4.74369 MPa,0.0320695 mm
24,32,72,160,72,150,60,380.234 kg,5.25214 MPa,0.0271881 mm
25,32,72,160,72,180,40,349.994 kg,5.06075 MPa,0.0351948 mm
